entity,name,label,cnLabel,type
shot,first_frame,,,int
shot,last_frame,,,int
version,status,,,lineedit
version,files,,,textedit
version,shot,,,lineedit
version,description,,,textedit
version,sequence,,,lineedit
version,step,,,lineedit
version,part,,,lineedit
version,path,,,lineedit
version,episode,,,lineedit
version,asset_type,,,lineedit
version,task_name,,,lineedit
version,pipeline_type,,,lineedit
version,name,,,lineedit
version,task_id,,,lineedit
version,artist,,,lineedit
version,entity_type,,,lineedit
version,version_type,,,lineedit
version,project,,,lineedit
version,version,,,lineedit
version,asset,,,lineedit
version,project_id,,,lineedit
version,type,,,lineedit
version,thumbnail,,,textedit
version,shot_id,,,lineedit
version,level,,,lineedit
version,mapping,,,textedit
version,sets,,,textedit
